mã_câu	chủ_đề_gốc	loại	kênh	có_truyện	trạng_thái_đánh_giá	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
attributed.ma.iv_08.not_worse	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_1	thất_bại	làm_rõ_giá_trị	đặt_lại_giả_định	4	cao
attributed.ma.iv_49.brave_bearing	adversity_resilience	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_1	bất_định	sức_bền	đổi_khung_nhìn	3	cao
attributed.ma.iv_49.promontory	adversity_resilience	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_1	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	chậm_lại	3	cao
attributed.ma.v_20.obstruction_progress	adversity_resilience	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_1	thất_bại	quyền_tự_chủ	đổi_khung_nhìn	4	cao
attributed.paulo_coelho.the_alchemist.011	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_1	bất_định	sức_bền	đổi_khung_nhìn	2	trung_bình
attributed.paulo_coelho.the_alchemist.023	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	thất_bại	mở_rộng_góc_nhìn	đổi_khung_nhìn	1	trung_bình
attributed.paulo_coelho.the_alchemist.031	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_1	thất_bại	sức_bền	đổi_khung_nhìn	2	trung_bình
attributed.paulo_coelho.the_alchemist.067	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_1	bất_định	quyền_tự_chủ	hành_động	2	trung_bình
attributed.paulo_coelho.the_alchemist.068	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_1	mất_mát	mở_rộng_góc_nhìn	đổi_khung_nhìn	2	trung_bình
attributed.paulo_coelho.the_alchemist.075	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_1	bất_định	sức_bền	nhận_ra	1	trung_bình
attributed.paulo_coelho.the_alchemist.076	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	bất_định	phán_đoán_độc_lập	nhận_ra	2	trung_bình
attributed.paulo_coelho.the_alchemist.080	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_1	bất_định	sức_bền	nhận_ra	1	trung_bình
attributed.paulo_coelho.the_alchemist.081	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_1	bất_định	trách_nhiệm	hành_động	3	cao
calling_mud_dry_changes_nothing	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	thất_bại	mở_rộng_góc_nhìn	nhận_ra	2	cao
control_layer_digest	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	quá_tải	phán_đoán_độc_lập	phân_biệt_kiểm_soát	2	cao
do_not_need_to_love_the_storm_to_love_the_journey	adversity_resilience	selflo_original	biên_soạn	có	đã_kiểm_chứng_trong_mẫu_88	hồi_phục	sức_bền	giữ_hai_mặt	3	cao
every_long_road_is_crossed_one_meter_at_a_time	adversity_resilience	selflo_original	biên_soạn	có	đã_quy_đổi_từ_mẫu_36	quá_tải	quyền_tự_chủ	hành_động	1	cao
knots_loosen_from_the_edge	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	quá_tải	mở_rộng_góc_nhìn	đổi_khung_nhìn	2	cao
map_does_not_lower_the_mountain	adversity_resilience	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	quá_tải	phán_đoán_độc_lập	gọi_tên	2	cao
market_reopens_one_stall_at_a_time	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	hồi_phục	sức_bền	hành_động	2	cao
morning_after_storm_starts_small	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	hồi_phục	quyền_tự_chủ	hành_động	3	cao
muscle_recovers_during_rest	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	cạn_năng_lượng	điều_hòa_cảm_xúc	chấp_nhận_giới_hạn	2	trung_bình
new_light_enters_where_branch_broke	adversity_resilience	selflo_original	biên_soạn	có	đã_đánh_giá_trong_đợt_1	mất_mát	mở_rộng_góc_nhìn	đổi_khung_nhìn	3	cao
patched_cloth_finds_another_way_to_stay	adversity_resilience	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	hồi_phục	sức_bền	đổi_khung_nhìn	3	cao
quote.roof_of_many_hands	adversity_resilience	adapted_wisdom	biên_soạn	có	đã_quy_đổi_từ_mẫu_36	hồi_phục	kết_nối	đổi_khung_nhìn	2	trung_bình
rain_stopped_before_ground_dried	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	hồi_phục	chịu_đựng_bất_định	nhận_ra	3	cao
road_dries_from_edge_inward	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	hồi_phục	sức_bền	chấp_nhận_giới_hạn	2	cao
roof_releases_the_storm_slowly	adversity_resilience	selflo_original	biên_soạn	có	đã_quy_đổi_từ_mẫu_36	hồi_phục	tự_cảm_thông	nhận_ra	3	cao
room_changes_with_one_lamp	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	quá_tải	quyền_tự_chủ	hành_động	2	cao
roots_check_themselves_after_storm	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	hồi_phục	hiểu_mình	chậm_lại	3	cao
small_flame_warms_a_small_room	adversity_resilience	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	cạn_năng_lượng	biết_đủ	chấp_nhận_giới_hạn	2	trung_bình
stuck_door_opens_the_other_way	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	thất_bại	mở_rộng_góc_nhìn	đặt_lại_giả_định	2	cao
tear_lies_flat_under_the_needle	adversity_resilience	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	tổn_thương_cảm_xúc	hiểu_mình	gọi_tên	3	trung_bình
wall_reveals_the_way_around	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	thất_bại	mở_rộng_góc_nhìn	chấp_nhận_giới_hạn	3	cao
window_fogs_before_clearing	adversity_resilience	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_1	bất_định	chịu_đựng_bất_định	đổi_khung_nhìn	2	cao
wounds_can_become_structure	adversity_resilience	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	hồi_phục	sức_bền	đổi_khung_nhìn	2	cao
a_pause_keeps_the_first_reaction_from_becoming_the_only_choice	attention	selflo_original	biên_soạn	có	đã_kiểm_chứng_trong_mẫu_88	xao_lãng	quyền_tự_chủ	chậm_lại	4	cao
attributed.dhammapada.verse_035.tamed_mind	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	xao_lãng	sự_hiện_diện	chậm_lại	3	cao
attributed.epictetus.ench_04.prepare	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	áp_lực_công_việc	trách_nhiệm	chậm_lại	3	cao
attributed.epictetus.ench_20.delay	attention	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_2	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	chậm_lại	4	cao
attributed.ma.ii_07.unsettled_aim	attention	adapted_wisdom	phát_hành	không	đã_kiểm_chứng_trong_mẫu_88	quá_tải	làm_rõ_giá_trị	làm_rõ_giá_trị	3	cao
attributed.ma.ii_14.past_future	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	bất_định	sự_hiện_diện	đặt_lại_giả_định	3	cao
attributed.ma.iii_04.others_affairs	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	xao_lãng	làm_rõ_giá_trị	lựa_chọn	4	cao
attributed.ma.iii_10.present_moment	attention	adapted_wisdom	phát_hành	không	đã_quy_đổi_từ_mẫu_36	xao_lãng	sự_hiện_diện	nhận_ra	2	cao
attributed.ma.iv_18.own_actions	attention	adapted_wisdom	biên_soạn	không	đã_quy_đổi_từ_mẫu_36	so_sánh	trách_nhiệm	phân_biệt_kiểm_soát	2	cao
attributed.ma.v_16.mind_colour	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	xao_lãng	sự_hiện_diện	nhận_ra	3	cao
attributed.ma.vi_03.look_within	attention	adapted_wisdom	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	xao_lãng	hiểu_mình	nhận_ra	2	trung_bình
attributed.ma.vii_08.future_reason	attention	adapted_wisdom	phát_hành	không	đã_kiểm_chứng_trong_mẫu_88	bất_định	chịu_đựng_bất_định	chấp_nhận_giới_hạn	3	cao
attributed.ma.viii_36.present_bounds	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	quá_tải	sự_hiện_diện	chấp_nhận_giới_hạn	4	cao
attributed.paulo_coelho.the_alchemist.006	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	không_gắn_hoàn_cảnh_cụ_thể	mở_rộng_góc_nhìn	đặt_lại_giả_định	3	cao
attributed.paulo_coelho.the_alchemist.009	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	không_gắn_hoàn_cảnh_cụ_thể	sự_hiện_diện	chậm_lại	2	trung_bình
attributed.paulo_coelho.the_alchemist.018	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	xao_lãng	sự_hiện_diện	nhận_ra	2	trung_bình
attributed.paulo_coelho.the_alchemist.024	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	không_gắn_hoàn_cảnh_cụ_thể	sự_hiện_diện	chậm_lại	3	cao
attributed.paulo_coelho.the_alchemist.029	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	quá_tải	sự_hiện_diện	chậm_lại	2	trung_bình
attributed.paulo_coelho.the_alchemist.032	attention	adapted_wisdom	biên_soạn	không	đã_quy_đổi_từ_mẫu_36	không_gắn_hoàn_cảnh_cụ_thể	mở_rộng_góc_nhìn	đặt_lại_giả_định	2	trung_bình
attributed.paulo_coelho.the_alchemist.041	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	so_sánh	sự_hiện_diện	nhận_ra	2	trung_bình
attributed.paulo_coelho.the_alchemist.045	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	không_gắn_hoàn_cảnh_cụ_thể	hiểu_mình	nhận_ra	3	thấp
attributed.paulo_coelho.the_alchemist.056	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	do_dự	sự_hiện_diện	nhận_ra	2	thấp
attributed.paulo_coelho.the_alchemist.058	attention	adapted_wisdom	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	chưa_xác_định	mở_rộng_góc_nhìn	nhận_ra	2	thấp
attributed.paulo_coelho.the_alchemist.062	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	không_gắn_hoàn_cảnh_cụ_thể	sự_hiện_diện	kết_nối_lại	2	thấp
attributed.paulo_coelho.the_alchemist.069	attention	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_2	xao_lãng	sự_hiện_diện	nhận_ra	2	trung_bình
attributed.paulo_coelho.the_alchemist.074	attention	adapted_wisdom	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	xao_lãng	sự_hiện_diện	nhận_ra	2	cao
attributed.seneca.letter_01.postponing	attention	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_2	do_dự	quyền_tự_chủ	hành_động	2	cao
attributed.seneca.letter_02.nowhere	attention	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_2	xao_lãng	sự_hiện_diện	chậm_lại	3	cao
blinking_cursor_does_not_write_first_line	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	do_dự	quyền_tự_chủ	hành_động	1	cao
brain_system_digest	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	tổn_thương_cảm_xúc	nhận_biết_cảm_xúc	nhận_ra	2	trung_bình
clock_does_not_hurry_when_watched	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	bất_định	chịu_đựng_bất_định	chấp_nhận_giới_hạn	2	cao
continuous_looking_only_tires_eyes	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	cạn_năng_lượng	sự_hiện_diện	chấp_nhận_giới_hạn	2	cao
do_not_go_to_work_twice	attention	selflo_original	biên_soạn	có	đã_đánh_giá_trong_đợt_2	áp_lực_công_việc	điều_hòa_cảm_xúc	buông	3	cao
eyes_memorize_the_unopened_page	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	xao_lãng	sự_hiện_diện	nhận_ra	2	cao
maps_hide_the_nearby_door	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	quá_tải	phán_đoán_độc_lập	chậm_lại	3	cao
needle_reopens_the_same_hole	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	buông	2	trung_bình
ninety_nine_percent_is_not_finished	attention	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	áp_lực_công_việc	trách_nhiệm	gọi_tên	1	trung_bình
pause_is_an_action	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	do_dự	phán_đoán_độc_lập	chậm_lại	4	cao
peace_does_not_require_a_silent_room	attention	selflo_original	biên_soạn	có	đã_đánh_giá_trong_đợt_2	xao_lãng	sự_hiện_diện	làm_rõ_giá_trị	3	cao
pinned_tab_is_not_completed_work	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	áp_lực_công_việc	trách_nhiệm	hành_động	1	cao
pot_cools_between_lid_checks	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	bất_định	chịu_đựng_bất_định	buông	2	cao
rain_waits_beneath_city_noise	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	xao_lãng	sự_hiện_diện	chậm_lại	3	cao
red_light_reveals_the_trees	attention	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	xao_lãng	sự_hiện_diện	chậm_lại	3	cao
return_to_what_is_here	attention	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	quá_tải	sự_hiện_diện	nhận_ra	2	cao
roots_hold_when_wind_changes	attention	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	bất_định	sức_bền	đổi_khung_nhìn	2	trung_bình
shadow_changes_beneath_the_walker	attention	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	xao_lãng	sự_hiện_diện	nhận_ra	3	trung_bình
space_between_stimulus_and_response	attention	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	tổn_thương_cảm_xúc	quyền_tự_chủ	chậm_lại	4	cao
sunlight_crosses_the_floor	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	xao_lãng	sự_hiện_diện	nhận_ra	2	cao
tea_turns_bitter_when_oversteeped	attention	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	cạn_năng_lượng	biết_đủ	chấp_nhận_giới_hạn	2	trung_bình
tea_waits_beside_the_screen	attention	selflo_original	biên_soạn	có	đã_quy_đổi_từ_mẫu_36	xao_lãng	sự_hiện_diện	chậm_lại	3	cao
ten_notifications_are_not_ten_priorities	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	quá_tải	phán_đoán_độc_lập	lựa_chọn	3	cao
thought_layer_digest	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	mâu_thuẫn_quan_hệ	mở_rộng_góc_nhìn	đặt_lại_giả_định	2	trung_bình
tomorrow_may_bring_waves_tonight_return_to_breath	attention	selflo_original	biên_soạn	có	đã_đánh_giá_trong_đợt_2	bất_định	sự_hiện_diện	chậm_lại	3	cao
tomorrows_stone_does_not_get_lighter_overnight	attention	selflo_original	biên_soạn	có	đã_đánh_giá_trong_đợt_2	bất_định	điều_hòa_cảm_xúc	buông	3	cao
too_many_tabs_slow_the_important_one	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	quá_tải	phán_đoán_độc_lập	lựa_chọn	2	cao
waves_arrive_and_leave	attention	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_2	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	chấp_nhận_giới_hạn	2	cao
accepting_change_without_losing_self	change_growth	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	thay_đổi	hiểu_mình	đổi_khung_nhìn	2	cao
attributed.confucius.book_i_ch08.faults	change_growth	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_6	thất_bại	trách_nhiệm	hành_động	3	cao
attributed.dhammapada.verse_080.fashion_self	change_growth	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	quyền_tự_chủ	hành_động	3	cao
attributed.epictetus.ench_12.small	change_growth	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_6	quá_tải	quyền_tự_chủ	hành_động	2	cao
attributed.laozi.chapter_22.complete	change_growth	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_6	thay_đổi	mở_rộng_góc_nhìn	giữ_hai_mặt	3	trung_bình
attributed.laozi.chapter_64.first_step	change_growth	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_6	quá_tải	quyền_tự_chủ	hành_động	3	cao
attributed.ma.iii_02.cracked_loaf	change_growth	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_6	thất_bại	mở_rộng_góc_nhìn	đổi_khung_nhìn	4	cao
attributed.ma.iv_03.change_and_thought	change_growth	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	mở_rộng_góc_nhìn	đặt_lại_giả_định	3	cao
attributed.ma.iv_12.change_course	change_growth	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	phán_đoán_độc_lập	đặt_lại_giả_định	4	cao
attributed.ma.iv_36.nature_change	change_growth	adapted_wisdom	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	thay_đổi	chịu_đựng_bất_định	nhận_ra	2	cao
attributed.ma.vi_21.truth_change	change_growth	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_6	thất_bại	phán_đoán_độc_lập	đặt_lại_giả_định	4	cao
attributed.ma.vii_02.renew_life	change_growth	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	mở_rộng_góc_nhìn	đổi_khung_nhìn	3	cao
attributed.paulo_coelho.the_alchemist.019	change_growth	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thất_bại	mở_rộng_góc_nhìn	đổi_khung_nhìn	3	cao
attributed.paulo_coelho.the_alchemist.021	change_growth	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_6	định_hướng_công_việc	hiểu_mình	gọi_tên	2	thấp
attributed.paulo_coelho.the_alchemist.022	change_growth	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_6	định_hướng_công_việc	phán_đoán_độc_lập	chấp_nhận_giới_hạn	3	cao
attributed.paulo_coelho.the_alchemist.028	change_growth	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_6	định_hướng_công_việc	trách_nhiệm	hành_động	2	trung_bình
attributed.paulo_coelho.the_alchemist.044	change_growth	adapted_wisdom	biên_soạn	không	đã_quy_đổi_từ_mẫu_36	xao_lãng	hiểu_mình	đặt_lại_giả_định	3	trung_bình
attributed.paulo_coelho.the_alchemist.055	change_growth	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_6	bất_định	phán_đoán_độc_lập	đặt_lại_giả_định	1	thấp
attributed.paulo_coelho.the_alchemist.063	change_growth	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_6	định_hướng_công_việc	làm_rõ_giá_trị	lựa_chọn	2	trung_bình
attributed.paulo_coelho.the_alchemist.082	change_growth	adapted_wisdom	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	mất_mát	chưa_xác_định	buông	1	thấp
attributed.zhuangzi.chapter_20.change_with_time	change_growth	adapted_wisdom	phát_hành	có	đã_quy_đổi_từ_mẫu_36	thay_đổi	phán_đoán_độc_lập	buông	3	cao
avoidance_loop_digest	change_growth	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	chưa_xác_định	hiểu_mình	nhận_ra	2	trung_bình
behavior_layer_digest	change_growth	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	hiểu_mình	nhận_ra	3	cao
burn_mark_maps_the_flame	change_growth	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thất_bại	trách_nhiệm	đổi_khung_nhìn	3	cao
coffee_guides_the_hand_to_one_cup	change_growth	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	chưa_xác_định	hiểu_mình	nhận_ra	2	thấp
crooked_pot_shows_the_heavy_hand	change_growth	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	thất_bại	hiểu_mình	nhận_ra	3	cao
curtain_opens_with_the_alarm	change_growth	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	hiểu_mình	nhận_ra	2	cao
eraser_shrinks_as_letters_straighten	change_growth	selflo_original	biên_soạn	có	đã_kiểm_chứng_trong_mẫu_88	thay_đổi	sức_bền	đổi_khung_nhìn	2	cao
freedom_begins_when_one_path_is_not_the_only_path	change_growth	selflo_original	biên_soạn	có	đã_đánh_giá_trong_đợt_6	thay_đổi	quyền_tự_chủ	đặt_lại_giả_định	4	cao
growth_layer_digest	change_growth	selflo_original	biên_soạn	có	đã_đánh_giá_trong_đợt_6	thay_đổi	mở_rộng_góc_nhìn	nhận_ra	2	trung_bình
habit_arrives_without_knocking	change_growth	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	hiểu_mình	nhận_ra	2	cao
habit_is_a_path_worn_by_feet	change_growth	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	hiểu_mình	nhận_ra	3	cao
hand_finds_the_key_tray	change_growth	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	hiểu_mình	nhận_ra	2	cao
pillow_hollows_across_many_nights	change_growth	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	sức_bền	chấp_nhận_giới_hạn	2	cao
progress_can_be_quiet	change_growth	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	hiểu_mình	nhận_ra	3	cao
quote.baker_and_black_mark	change_growth	adapted_wisdom	biên_soạn	có	đã_đánh_giá_trong_đợt_6	thất_bại	trách_nhiệm	nhận_ra	4	cao
quote.boatman_and_second_mountain	change_growth	adapted_wisdom	biên_soạn	có	đã_quy_đổi_từ_mẫu_36	do_dự	quyền_tự_chủ	lựa_chọn	3	trung_bình
repeated_story_may_be_unfinished	change_growth	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	tổn_thương_cảm_xúc	hiểu_mình	gọi_tên	3	cao
restitching_teaches_the_hand	change_growth	selflo_original	biên_soạn	có	đã_đánh_giá_trong_đợt_6	thất_bại	trách_nhiệm	hành_động	3	cao
row_today_build_one_piece_of_tomorrows_raft	change_growth	selflo_original	biên_soạn	có	đã_kiểm_chứng_trong_mẫu_88	do_dự	quyền_tự_chủ	hành_động	4	cao
seed_grows_out_of_sight	change_growth	selflo_original	biên_soạn	có	đã_quy_đổi_từ_mẫu_36	thay_đổi	sức_bền	đổi_khung_nhìn	2	cao
unanswered_alarm_teaches_ears_not_to_hear	change_growth	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	trách_nhiệm	nhận_ra	3	cao
worn_carpet_marks_a_familiar_path	change_growth	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	thay_đổi	hiểu_mình	nhận_ra	3	cao
worn_step_remembers_many_feet	change_growth	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thay_đổi	mở_rộng_góc_nhìn	nhận_ra	2	trung_bình
wrong_turn_stays_on_the_map	change_growth	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_6	thất_bại	mở_rộng_góc_nhìn	đổi_khung_nhìn	3	cao
an_old_scent_can_open_an_old_room	emotion	selflo_original	biên_soạn	có	đã_kiểm_chứng_trong_mẫu_88	tổn_thương_cảm_xúc	quyền_tự_chủ	nhận_ra	4	cao
anxiety_loop_digest	emotion	selflo_original	biên_soạn	không	đã_đánh_giá_trong_đợt_3	bất_định	nhận_biết_cảm_xúc	nhận_ra	3	cao
